Project,Skills,Short Description,GitHub,Tableau
Project: A Study on People's Preference for Brands for Their Daily Needs,"Word (https://www.notion.so/Word-12af5859f9208137b823f72eb3540921?pvs=21), English (https://www.notion.so/English-12af5859f92081f78caae70b8568bcc3?pvs=21), Data Cleaning (https://www.notion.so/Data-Cleaning-12af5859f920816fad30eb6ef2fdc678?pvs=21), Data Visualization (https://www.notion.so/Data-Visualization-12af5859f92081dfb344decb66ffc2ff?pvs=21), Excel (https://www.notion.so/Excel-12af5859f92081b2b001ebc8fc43dc59?pvs=21)",,,
Project: Content Analysis and Engagement Strategy for Social Buzz (Accenture Simulation),,,,
